pattern_name,category,platform,anatomy,source,url
Onboarding,Screen Pattern,Mobile,"Welcome screens + Feature highlights + Get Started CTA + Optional skip + Illustrations",Page Flows,https://pageflows.com/post/ios/onboarding/
General Browsing,Screen Pattern,Mobile,"Home feed + Content discovery + Navigation + Search + Categories + Recommendations",Page Flows,https://pageflows.com/post/ios/general-browsing/
Sorting and Filtering,Interaction,Mobile,"Filter options + Sort criteria + Apply + Reset + Results update + Categories + Tags + Range sliders",Page Flows,https://pageflows.com/post/ios/sorting-and-filtering/
Deleting Your Account,Flow,Mobile,"Warning + Reason selection + Data retention info + Confirmation + Recovery options + Success",Page Flows,https://pageflows.com/post/ios/deleting-your-account/
Deleting Conversations,Flow,Mobile,"Select conversations + Confirmation + Warning + Undo option + Progress + Success + Empty state",Page Flows,https://pageflows.com/post/ios/deleting-conversations/
Adding to Favorites,Flow,Mobile,"Item + Save action + Collection selection + Confirmation + Access later + Organize + Unsave",Page Flows,https://pageflows.com/post/ios/adding-to-favorites/
Logging In,Flow,Mobile,"Email/phone + Password + Social login + Biometric + 2FA + Forgot password + Success + Remember me",Page Flows,https://pageflows.com/post/ios/logging-in/
Adding Payment Details,Flow,Mobile,"Card input + Billing address + Validation + Security + Save for later + Confirmation + Error handling",Page Flows,https://pageflows.com/post/ios/adding-payment-details/
Creating a Board,Flow,Mobile,"Title + Description + Privacy settings + Invite members + Templates + Customization + Publish",Page Flows,https://pageflows.com/post/ios/creating-a-board/
Discovering Content,Flow,Mobile,"Browse + Categories + Search + Recommendations + Filters + Preview + Save + Share",Page Flows,https://pageflows.com/post/ios/discovering-content/
Shopping List,Screen Pattern,Mobile,"Item list + Quantities + Prices + Checkboxes + Categories + Total + Checkout CTA + Share",Page Flows,https://pageflows.com/post/ios/shopping-list/
Accepting an Invite,Flow,Mobile,"Notification + Preview + Accept/Decline + Message + Calendar integration + Confirmation + Success",Page Flows,https://pageflows.com/post/ios/accepting-an-invite/
Adding Connections,Flow,Mobile,"Search + Profile preview + Connect request + Message + Confirmation + Notifications + Manage",Page Flows,https://pageflows.com/post/ios/adding-connections/
Unfollowing a User,Flow,Mobile,"Profile + Unfollow button + Confirmation + Settings + Mute options + Block + Report",Page Flows,https://pageflows.com/post/ios/unfollowing-a-user/
Upgrading Your Account,Flow,Mobile,"Current plan + Pricing tiers + Feature comparison + Payment + Confirmation + Benefits + Invoice",Page Flows,https://pageflows.com/post/ios/upgrading-your-account/
Verifying Email Address,Flow,Mobile,"Email input + Verification code + Resend + Timer + Alternative methods + Success + Error handling",Page Flows,https://pageflows.com/post/ios/verifying-email-address/
Upgrading Your Subscription,Flow,Mobile,"Current plan + Pricing tiers + Feature comparison + Payment + Confirmation + Benefits + Invoice + History",Page Flows,https://pageflows.com/post/ios/upgrading-your-subscription/
Watching Videos,Screen Pattern,Mobile,"Video player + Controls + Progress + Fullscreen + Related + Comments + Share + Playlist + Quality",Page Flows,https://pageflows.com/post/ios/watching-videos/
Settings,Screen Pattern,Mobile,"Grouped list items + Toggles + Navigation to sub-screens + Categories + Dividers + Search + Profile",Page Flows,https://pageflows.com/post/ios/settings/
Changing Password,Flow,Mobile,"Current password + New password + Confirm + Strength indicator + Save + Success + Security + Logout all devices",Page Flows,https://pageflows.com/post/ios/changing-password/
Booking a Ride,Flow,Mobile,"Pickup + Destination + Vehicle type + Price estimate + Confirm + Driver info + Tracking + Payment + Rating",Page Flows,https://pageflows.com/post/ios/booking-a-ride/
Updating Your Profile,Flow,Mobile,"Avatar + Name + Bio + Links + Privacy settings + Save + Preview + Validation + Social connections",Page Flows,https://pageflows.com/post/ios/updating-your-profile/
Confirming Email Address,Flow,Mobile,"Email input + Verification code + Resend + Timer + Alternative methods + Success + Error handling + Skip",Page Flows,https://pageflows.com/post/ios/confirming-email-address/
Adding Postal Address,Flow,Mobile,"Address fields + Validation + Map + Save + Default + Multiple addresses + Delete + Edit",Page Flows,https://pageflows.com/post/ios/adding-postal-address/
Adding a Delivery Address,Flow,Mobile,"Address fields + Validation + Map + Save + Default + Multiple addresses + Delete + Edit + Instructions",Page Flows,https://pageflows.com/post/ios/adding-a-delivery-address/
Adding an Account,Flow,Mobile,"Account type + Credentials + Verification + Permissions + Sync + Confirmation + Manage + Switch",Page Flows,https://pageflows.com/post/ios/adding-an-account/
Adding Comments,Flow,Mobile,"Text input + Attachments + Preview + Post + Edit + Delete + Reply + Reactions + Notifications",Page Flows,https://pageflows.com/post/ios/adding-comments/
Completing a Plan,Flow,Mobile,"Plan overview + Tasks + Progress + Checklist + Rewards + Completion + Share + Next steps + History",Page Flows,https://pageflows.com/post/ios/completing-a-plan/
Booking Free Classes,Flow,Mobile,"Browse + Class details + Schedule + Reserve + Confirmation + Calendar + Reminder + Cancel + Waitlist",Page Flows,https://pageflows.com/post/ios/booking-free-classes/
Adding Travelers Details,Flow,Mobile,"Passenger info + Documents + Preferences + Special requests + Save + Edit + Delete + Confirmation",Page Flows,https://pageflows.com/post/ios/adding-travelers-details/
Joining a Workspace,Flow,Mobile,"Invite link + Workspace preview + Join + Permissions + Onboarding + Team members + Channels + Settings",Page Flows,https://pageflows.com/post/ios/joining-a-workspace/
Adding a Member,Flow,Mobile,"Search + Invite + Role selection + Permissions + Confirmation + Notifications + Manage + Remove",Page Flows,https://pageflows.com/post/ios/adding-a-member/
Adding Billing Address,Flow,Mobile,"Address fields + Validation + Map + Save + Default + Multiple addresses + Delete + Edit + Tax info",Page Flows,https://pageflows.com/post/ios/adding-billing-address/
Cancelling Subscription,Flow,Mobile,"Current plan + Reason + Retention offer + Confirm + Effective date + Export data + Success + Feedback",Page Flows,https://pageflows.com/post/ios/cancelling-subscription/
Adding Mentions,Flow,Mobile,"@ symbol + User search + Select + Notify + Highlight + Edit + Remove + Permissions + Notifications",Page Flows,https://pageflows.com/post/ios/adding-mentions/
Applying as a Seller,Flow,Mobile,"Application form + Documents + Verification + Terms + Approval process + Dashboard + Listings + Payments",Page Flows,https://pageflows.com/post/ios/applying-as-a-seller/
Commenting,Flow,Mobile,"Text input + Attachments + Preview + Post + Edit + Delete + Reply + Reactions + Notifications + Thread",Page Flows,https://pageflows.com/post/ios/commenting/
Sharing,Flow,Mobile,"Share sheet + Apps + Copy link + Message + Email + Social + Permissions + Preview + Analytics",Page Flows,https://pageflows.com/post/ios/sharing/
Adding Goals,Flow,Mobile,"Goal type + Target + Timeline + Milestones + Progress + Notifications + Edit + Complete + Archive",Page Flows,https://pageflows.com/post/ios/adding-goals/
Using Plugins,Flow,Mobile,"Plugin store + Browse + Install + Configure + Permissions + Enable + Disable + Update + Remove",Page Flows,https://pageflows.com/post/ios/using-plugins/
Booking a Room,Flow,Mobile,"Search + Filters + Room details + Photos + Amenities + Price + Dates + Reserve + Payment + Confirmation",Page Flows,https://pageflows.com/post/ios/booking-a-room/
Searching,Flow,Mobile,"Search bar + Recent + Suggestions + Results + Filters + Categories + Empty state + History + Voice",Page Flows,https://pageflows.com/post/ios/searching/
Finding a Recipe,Flow,Mobile,"Search + Categories + Ingredients + Dietary filters + Photos + Steps + Video + Save + Share + Reviews",Page Flows,https://pageflows.com/post/ios/finding-a-recipe/
Adding a Project,Flow,Mobile,"Title + Description + Team + Timeline + Tasks + Templates + Privacy + Create + Invite + Dashboard",Page Flows,https://pageflows.com/post/ios/adding-a-project/
Adding to Cart,Flow,Mobile,"Product + Quantity + Options + Price + Add + Cart preview + Continue shopping + Checkout + Save for later",Page Flows,https://pageflows.com/post/ios/adding-to-cart/
Connecting to a Computer,Flow,Mobile,"Device discovery + Pairing + Permissions + Connection type + File transfer + Screen mirroring + Disconnect + Security",Page Flows,https://pageflows.com/post/ios/connecting-to-a-computer/
