pattern_name,category,platform,anatomy,source,url
Toolbar,Navigation,iOS,"Title + Navigation controls (Back/Forward) + Actions (buttons/menus)",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/toolbars
Tab Bar,Navigation,iOS,"3-5 tabs with icons + labels, floating above content at bottom",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/tab-bars
Navigation Bar,Navigation,iOS,"Back button + Title + Optional actions (trailing)",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/navigation-bars
Sidebar,Navigation,iOS/iPadOS/macOS,"Vertical list of destinations with icons + labels, collapsible",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/sidebars
Search Field,Navigation/Input,iOS,"Search icon + Placeholder text + Clear button + Optional scope bar",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/search-fields
Button,CTA,iOS,"Label text OR icon + Background (filled/ghost) + Corner radius",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/buttons
Large Title,Screen Pattern,iOS,"Large bold title + Optional subtitle + Back button",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/navigation-bars
List Item,List,iOS,"Leading icon/image + Primary text + Secondary text + Trailing accessory (chevron/switch)",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/lists
Grouped List,List,iOS,"Section header + List items + Section footer, with rounded corners",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/lists
Modal View,Screen Pattern,iOS,"Sheet presentation + Drag handle + Close/Done button + Content",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/modality
Alert Dialog,Screen Pattern,iOS,"Title + Message + 1-2 action buttons (vertical stack)",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/alerts
Onboarding,Screen Pattern,iOS,"Welcome screens + Feature highlights + Get Started CTA + Optional skip",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/onboarding
Settings Screen,Screen Pattern,iOS,"Grouped list items + Toggles + Navigation to sub-screens",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/settings
Empty State,Screen Pattern,iOS,"Icon/illustration + Title + Description + Optional CTA button",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/empty-states
Loading State,Screen Pattern,iOS,"Activity indicator + Optional progress text + Skeleton screens",Apple HIG,https://developer.apple.com/design/human-interface-guidelines/loading
