pattern_name,category,platform,anatomy,source,url
Navigation Bar,Navigation,Android,"3-5 destinations with icons + labels, bottom placement, active indicator pill",Material Design 3,https://m3.material.io/components/navigation-bar
Navigation Drawer,Navigation,Android,"Standard (persistent) or Modal (overlay), list of destinations with icons + labels, rounded corners",Material Design 3,https://m3.material.io/components/navigation-drawer
Navigation Rail,Navigation,Android,"Vertical sidebar with icons + labels, expanded or collapsed, FAB option",Material Design 3,https://m3.material.io/components/navigation-rail
Top App Bar,Navigation,Android,"Title + Optional leading icon (menu/back) + Trailing actions (icons)",Material Design 3,https://m3.material.io/components/top-app-bar
Bottom App Bar,Navigation,Android,"Bottom bar + FAB notch + Action icons + Optional menu",Material Design 3,https://m3.material.io/components/bottom-app-bar
Tabs,Navigation,Android,"Primary (main destinations) or Secondary (content categories), icons + labels, scrollable",Material Design 3,https://m3.material.io/components/tabs
FAB,CTA,Android,"Circular button + Icon + Primary/Secondary/Tertiary color + Three sizes (FAB/Medium/Large)",Material Design 3,https://m3.material.io/components/floating-action-button
Extended FAB,CTA,Android,"Pill-shaped + Icon + Label text + Primary/Secondary/Tertiary color",Material Design 3,https://m3.material.io/components/extended-fab
Button,CTA,Android,"Text label + Optional leading icon + 5 types (Elevated/Filled/Tonal/Outlined/Text) + 5 sizes",Material Design 3,https://m3.material.io/components/buttons
Split Button,CTA,Android,"Main action + Dropdown arrow + Related actions menu + Connected shape",Material Design 3,https://m3.material.io/components/split-button
Button Group,CTA,Android,"Related buttons grouped + Shape-shifting + Bump interactions",Material Design 3,https://m3.material.io/components/button-groups
Icon Button,CTA,Android,"Icon only + Optional toggle state + Standard/Filled/Tonal/Outlined",Material Design 3,https://m3.material.io/components/icon-buttons
List,List,Android,"Label text + Supporting text + Leading icon/image + Trailing icon/text + 3 heights (56/72/88dp)",Material Design 3,https://m3.material.io/components/lists
Expressive List,List,Android,"Segmented style + Highlighted selection + Flexible slots + Standard or segmented",Material Design 3,https://m3.material.io/components/lists
Card,Content,Android,"Elevated/Filled/Outlined variants + Media + Title + Supporting text + Actions + Optional overflow menu",Material Design 3,https://m3.material.io/components/cards
Carousel,Content,Android,"Horizontal scroll + Snap behavior + Multi-browse/Multi-browse large/Hero/Uncontained variants",Material Design 3,https://m3.material.io/components/carousel
Chip,Content/Input,Android,"Assist/Filter/Input/Suggestion variants + Icon + Label + Optional checkmark + Rounded rectangle",Material Design 3,https://m3.material.io/components/chips
Search Bar,Search,Android,"Search icon + Hint text + Trailing icons + Suggestions list + Contained or divided style",Material Design 3,https://m3.material.io/components/search
Search View,Search,Android,"Expanded search + Input field + Results list + Clear button + Back arrow",Material Design 3,https://m3.material.io/components/search
Bottom Sheet,Screen Pattern,Android,"Standard (persistent) or Modal (overlay) + Drag handle + Content + Dismissible + Max-width 640dp",Material Design 3,https://m3.material.io/components/bottom-sheets
Side Sheet,Screen Pattern,Android,"Persistent or Modal + Right-side placement + Content + Dismissible",Material Design 3,https://m3.material.io/components/side-sheets
Dialog,Screen Pattern,Android,"Basic (alert) or Full-screen + Title + Content + Actions (1-2 buttons) + Rounded corners",Material Design 3,https://m3.material.io/components/dialogs
Snackbar,Status,Android,"Brief message + Optional action button + Bottom placement + Auto-dismiss or persistent",Material Design 3,https://m3.material.io/components/snackbar
Banner,Status,Android,"Icon + Text + Actions (1-2 buttons) + Top placement + Dismissible",Material Design 3,https://m3.material.io/components/banners
Progress Indicator,Status,Android,"Linear or Circular + Determinate or Indeterminate + Optional label + Track + Indicator",Material Design 3,https://m3.material.io/components/progress-indicators
Loading Indicator,Status,Android,"Circular spinner + Track + Indicator + Optional label + Brand color",Material Design 3,https://m3.material.io/components/loading-indicator
Tooltip,Status,Android,"Text label + Arrow pointing to element + Rich variant with icon + Persistent or dismissible",Material Design 3,https://m3.material.io/components/tooltips
Badge,Status,Android,"Small circle or number + Top-right of icon + Color (error/primary) + Max 2 digits",Material Design 3,https://m3.material.io/components/badges
Text Field,Input,Android,"Label + Placeholder + Input text + Leading/Trailing icons + Helper text + Error text + 3 variants (Filled/Outlined/Plain)",Material Design 3,https://m3.material.io/components/text-fields
Date Picker,Input,Android,"Calendar grid + Month/Year selector + Selected date + Range selection + Confirm/Cancel",Material Design 3,https://m3.material.io/components/date-pickers
Time Picker,Input,Android,"Clock face or Input fields + Hour/Minute + AM/PM + Confirm/Cancel",Material Design 3,https://m3.material.io/components/time-pickers
